,Close
0,728.2907099190286
1,6247.947823664119
2,9151.122225471696
3,3105.510780419581
4,9151.122225471696
5,9151.122225471696
6,728.2907099190286
7,9151.122225471696
8,6247.947823664119
9,9151.122225471696
10,728.2907099190286
11,728.2907099190286
12,3105.510780419581
13,728.2907099190286
14,728.2907099190286
15,728.2907099190286
16,9151.122225471696
17,6247.947823664119
18,3105.510780419581
19,9151.122225471696
20,6247.947823664119
21,728.2907099190286
22,728.2907099190286
23,6247.947823664119
24,728.2907099190286
25,728.2907099190286
